(R)-warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (R)-warfarin.
Somatostatin,The serum concentration of Somatostatin can be increased when it is combined with Ceftriaxone.
Sorafenib,The serum concentration of Sorafenib can be increased when it is combined with Ceftriaxone.
Sorbitol,Ceftriaxone may decrease the excretion rate of Sorbitol which could result in a higher serum level.
Sparfloxacin,The serum concentration of Sparfloxacin can be increased when it is combined with Ceftriaxone.
Sphingosine,The serum concentration of Sphingosine can be increased when it is combined with Ceftriaxone.
Spiradoline,Spiradoline may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Spironolactone,Spironolactone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
SRP 299,The therapeutic efficacy of SRP 299 can be decreased when used in combination with Ceftriaxone.
Stanolone,The serum concentration of Stanolone can be increased when it is combined with Ceftriaxone.
Stanolone acetate,The serum concentration of Stanolone acetate can be increased when it is combined with Ceftriaxone.
Stavudine,The excretion of Stavudine can be decreased when combined with Ceftriaxone.
Stiripentol,Ceftriaxone may decrease the excretion rate of Stiripentol which could result in a higher serum level.
Streptokinase,The therapeutic efficacy of Streptokinase can be decreased when used in combination with Ceftriaxone.
Streptomycin,Streptomycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Succinic acid,The excretion of Succinic acid can be decreased when combined with Ceftriaxone.
Sucralfate,Ceftriaxone may decrease the excretion rate of Sucralfate which could result in a higher serum level.
Sulbactam,Ceftriaxone may decrease the excretion rate of Sulbactam which could result in a higher serum level.
Sulfadiazine,Ceftriaxone may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.
Sulfamethoxazole,Ceftriaxone may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.
Sulfasalazine,Sulfasalazine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Sulindac,Sulindac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Sulodexide,The therapeutic efficacy of Sulodexide can be decreased when used in combination with Ceftriaxone.
Sumatriptan,The serum concentration of Sumatriptan can be increased when it is combined with Ceftriaxone.
Sunitinib,The serum concentration of Sunitinib can be increased when it is combined with Ceftriaxone.
Suxibuzone,Suxibuzone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Synthetic Conjugated Estrogens, A,Ceftriaxone may decrease the excretion rate of Synthetic Conjugated Estrogens, A which could result in a higher serum level.
Synthetic Conjugated Estrogens, B,Ceftriaxone may decrease the excretion rate of Synthetic Conjugated Estrogens, B which could result in a higher serum level.
Tacrine,The serum concentration of Tacrine can be increased when it is combined with Ceftriaxone.
Tacrolimus,The serum concentration of Tacrolimus can be increased when it is combined with Ceftriaxone.
Tadalafil,Ceftriaxone may decrease the excretion rate of Tadalafil which could result in a higher serum level.
Talazoparib,The serum concentration of Talazoparib can be increased when it is combined with Ceftriaxone.
Talinolol,The serum concentration of Talinolol can be increased when it is combined with Ceftriaxone.
Talniflumate,Talniflumate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Tamoxifen,The serum concentration of Tamoxifen can be increased when it is combined with Ceftriaxone.
Tamsulosin,Ceftriaxone may decrease the excretion rate of Tamsulosin which could result in a higher serum level.
Tasimelteon,Ceftriaxone may decrease the excretion rate of Tasimelteon which could result in a higher serum level.
Taurocholic Acid,The serum concentration of Taurocholic Acid can be increased when it is combined with Ceftriaxone.
Tazobactam,The excretion of Tazobactam can be decreased when combined with Ceftriaxone.
Tecemotide,The therapeutic efficacy of Tecemotide can be decreased when used in combination with Ceftriaxone.
Technetium Tc-99m disofenin,Ceftriaxone may decrease the excretion rate of Technetium Tc-99m disofenin which could result in a higher serum level.
Technetium Tc-99m exametazime,Ceftriaxone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.
Technetium Tc-99m mebrofenin,Ceftriaxone may decrease the excretion rate of Technetium Tc-99m mebrofenin which could result in a higher serum level.
Technetium Tc-99m oxidronate,Ceftriaxone may decrease the excretion rate of Technetium Tc-99m oxidronate which could result in a higher serum level.
Technetium Tc-99m pyrophosphate,Ceftriaxone may decrease the excretion rate of Technetium Tc-99m pyrophosphate which could result in a higher serum level.
Technetium Tc-99m sestamibi,The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Ceftriaxone.
Teduglutide,Ceftriaxone may decrease the excretion rate of Teduglutide which could result in a higher serum level.
Tegafur,Ceftriaxone may decrease the excretion rate of Tegafur which could result in a higher serum level.
Telaprevir,The serum concentration of Telaprevir can be increased when it is combined with Ceftriaxone.
Telavancin,Ceftriaxone may decrease the excretion rate of Telavancin which could result in a higher serum level.
Temazepam,Ceftriaxone may decrease the excretion rate of Temazepam which could result in a higher serum level.
Temozolomide,Ceftriaxone may decrease the excretion rate of Temozolomide which could result in a higher serum level.
Temsirolimus,The serum concentration of Temsirolimus can be increased when it is combined with Ceftriaxone.
Tenecteplase,The therapeutic efficacy of Tenecteplase can be decreased when used in combination with Ceftriaxone.
Tenidap,Tenidap may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Teniposide,The serum concentration of Teniposide can be increased when it is combined with Ceftriaxone.
Tenofovir,Ceftriaxone may increase the nephrotoxic activities of Tenofovir.
Tenofovir alafenamide,Ceftriaxone may increase the nephrotoxic activities of Tenofovir alafenamide.
Tenofovir disoproxil,Ceftriaxone may increase the nephrotoxic activities of Tenofovir disoproxil.
Tenoxicam,Tenoxicam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Tepoxalin,Tepoxalin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Terbutaline,Ceftriaxone may decrease the excretion rate of Terbutaline which could result in a higher serum level.
Terfenadine,The serum concentration of Terfenadine can be increased when it is combined with Ceftriaxone.
Testolactone,Ceftriaxone may decrease the excretion rate of Testolactone which could result in a higher serum level.
Testosterone,Ceftriaxone may decrease the excretion rate of Testosterone which could result in a higher serum level.
Testosterone cypionate,Ceftriaxone may decrease the excretion rate of Testosterone cypionate which could result in a higher serum level.
Testosterone enanthate,Ceftriaxone may decrease the excretion rate of Testosterone enanthate which could result in a higher serum level.
Testosterone propionate,The serum concentration of Testosterone propionate can be increased when it is combined with Ceftriaxone.
Testosterone undecanoate,Ceftriaxone may decrease the excretion rate of Testosterone undecanoate which could result in a higher serum level.
Tetracycline,The serum concentration of Tetracycline can be increased when it is combined with Ceftriaxone.
Tetradecyl hydrogen sulfate (ester),Ceftriaxone may decrease the excretion rate of Tetradecyl hydrogen sulfate (ester) which could result in a higher serum level.
TG4010,The therapeutic efficacy of TG4010 can be decreased when used in combination with Ceftriaxone.
Theobromine,Theobromine may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Thiabendazole,Ceftriaxone may decrease the excretion rate of Thiabendazole which could result in a higher serum level.
Thiethylperazine,Ceftriaxone may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.
Tiapride,Ceftriaxone may decrease the excretion rate of Tiapride which could result in a higher serum level.
Tiaprofenic acid,Tiaprofenic acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ticagrelor,The serum concentration of Ticagrelor can be increased when it is combined with Ceftriaxone.
Ticlopidine,Ceftriaxone may decrease the excretion rate of Ticlopidine which could result in a higher serum level.
Tienilic acid,Tienilic acid may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Tiludronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Tiludronic acid.
Timolol,The serum concentration of Timolol can be increased when it is combined with Ceftriaxone.
Tinidazole,Ceftriaxone may decrease the excretion rate of Tinidazole which could result in a higher serum level.
Tinoridine,Tinoridine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Tinzaparin,The therapeutic efficacy of Tinzaparin can be decreased when used in combination with Ceftriaxone.
Tioclomarol,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Tioclomarol.
Tiopronin,Ceftriaxone may decrease the excretion rate of Tiopronin which could result in a higher serum level.
Tiotropium,Ceftriaxone may decrease the excretion rate of Tiotropium which could result in a higher serum level.
Tirofiban,Ceftriaxone may decrease the excretion rate of Tirofiban which could result in a higher serum level.
Tixocortol,Ceftriaxone may decrease the excretion rate of Tixocortol which could result in a higher serum level.
Tobramycin,Tobramycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Tocopherol,Ceftriaxone may decrease the excretion rate of Tocopherol which could result in a higher serum level.
Tocopherylquinone,The therapeutic efficacy of Tocopherylquinone can be decreased when used in combination with Ceftriaxone.
Tolazamide,Ceftriaxone may decrease the excretion rate of Tolazamide which could result in a higher serum level.
Tolbutamide,Ceftriaxone may decrease the excretion rate of Tolbutamide which could result in a higher serum level.
Tolcapone,Ceftriaxone may decrease the excretion rate of Tolcapone which could result in a higher serum level.
Tolfenamic Acid,Tolfenamic Acid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Tolmetin,Tolmetin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Toloxatone,Ceftriaxone may decrease the excretion rate of Toloxatone which could result in a higher serum level.
Tolterodine,Ceftriaxone may decrease the excretion rate of Tolterodine which could result in a higher serum level.
Tolvaptan,The serum concentration of Tolvaptan can be increased when it is combined with Ceftriaxone.
Topiramate,The serum concentration of Topiramate can be increased when it is combined with Ceftriaxone.
Topiroxostat,Ceftriaxone may decrease the excretion rate of Topiroxostat which could result in a higher serum level.
Topotecan,The serum concentration of Topotecan can be increased when it is combined with Ceftriaxone.
Torasemide,Torasemide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Toremifene,The serum concentration of Toremifene can be increased when it is combined with Ceftriaxone.
Tositumomab,Ceftriaxone may decrease the excretion rate of Tositumomab which could result in a higher serum level.
Tramadol,Ceftriaxone may decrease the excretion rate of Tramadol which could result in a higher serum level.
Trametinib,Ceftriaxone may decrease the excretion rate of Trametinib which could result in a higher serum level.
Trastuzumab emtansine,The serum concentration of Trastuzumab emtansine can be increased when it is combined with Ceftriaxone.
Triamterene,Triamterene may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Triazolam,Ceftriaxone may decrease the excretion rate of Triazolam which could result in a higher serum level.
Trichlormethiazide,Trichlormethiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Triethylenetetramine,Ceftriaxone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.
Trifluoperazine,The serum concentration of Trifluoperazine can be increased when it is combined with Ceftriaxone.
Trifluridine,Ceftriaxone may decrease the excretion rate of Trifluridine which could result in a higher serum level.
Triflusal,The therapeutic efficacy of Triflusal can be decreased when used in combination with Ceftriaxone.
Trimebutine,Ceftriaxone may decrease the excretion rate of Trimebutine which could result in a higher serum level.
Trimethoprim,Ceftriaxone may decrease the excretion rate of Trimethoprim which could result in a higher serum level.
Trimetrexate,Ceftriaxone may decrease the excretion rate of Trimetrexate which could result in a higher serum level.
Trimipramine,The serum concentration of Trimipramine can be increased when it is combined with Ceftriaxone.
Tropisetron,Ceftriaxone may decrease the excretion rate of Tropisetron which could result in a higher serum level.
Typhoid vaccine,The therapeutic efficacy of Typhoid vaccine can be decreased when used in combination with Ceftriaxone.
Typhoid Vaccine Live Ty21a,The therapeutic efficacy of Typhoid Vaccine Live Ty21a can be decreased when used in combination with Ceftriaxone.
Ubidecarenone,The serum concentration of Ubidecarenone can be increased when it is combined with Ceftriaxone.
Ularitide,Ularitide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Umeclidinium,The serum concentration of Umeclidinium can be increased when it is combined with Ceftriaxone.
Urokinase,The therapeutic efficacy of Urokinase can be decreased when used in combination with Ceftriaxone.
Vaborbactam,Ceftriaxone may decrease the excretion rate of Vaborbactam which could result in a higher serum level.
Vaccinia virus strain new york city board of health live antigen,The therapeutic efficacy of Vaccinia virus strain new york city board of health live antigen can be decreased when used in combination with Ceftriaxone.
Valaciclovir,Valaciclovir may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Valbenazine,Ceftriaxone may decrease the excretion rate of Valbenazine which could result in a higher serum level.
Valdecoxib,Valdecoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Valganciclovir,Ceftriaxone may decrease the excretion rate of Valganciclovir which could result in a higher serum level.
Valinomycin,The serum concentration of Valinomycin can be increased when it is combined with Ceftriaxone.
Valproic Acid,The excretion of Valproic Acid can be decreased when combined with Ceftriaxone.
Valspodar,The serum concentration of Valspodar can be increased when it is combined with Ceftriaxone.
Vancomycin,Ceftriaxone may decrease the excretion rate of Vancomycin which could result in a higher serum level.
Vardenafil,The serum concentration of Vardenafil can be increased when it is combined with Ceftriaxone.
Varenicline,Ceftriaxone may decrease the excretion rate of Varenicline which could result in a higher serum level.
Varicella Zoster Vaccine (Live/Attenuated),The therapeutic efficacy of Varicella Zoster Vaccine (Live/Attenuated) can be decreased when used in combination with Ceftriaxone.
Vecuronium,The serum concentration of Vecuronium can be increased when it is combined with Ceftriaxone.
Velpatasvir,The serum concentration of Velpatasvir can be increased when it is combined with Ceftriaxone.
Vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Ceftriaxone.
Venetoclax,The serum concentration of Venetoclax can be increased when it is combined with Ceftriaxone.
Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Ceftriaxone.
Verapamil,The serum concentration of Verapamil can be increased when it is combined with Ceftriaxone.
Vibrio cholerae CVD 103-HgR strain live antigen,The therapeutic efficacy of Vibrio cholerae CVD 103-HgR strain live antigen can be decreased when used in combination with Ceftriaxone.
Vilanterol,Ceftriaxone may decrease the excretion rate of Vilanterol which could result in a higher serum level.
Viloxazine,Ceftriaxone may decrease the excretion rate of Viloxazine which could result in a higher serum level.
Vinblastine,The serum concentration of Vinblastine can be increased when it is combined with Ceftriaxone.
Vincristine,The excretion of Vincristine can be decreased when combined with Ceftriaxone.
Vincristine,The serum concentration of Vincristine can be increased when it is combined with Ceftriaxone.
Vinflunine,The serum concentration of Vinflunine can be increased when it is combined with Ceftriaxone.
Vinorelbine,The serum concentration of Vinorelbine can be increased when it is combined with Ceftriaxone.
Vismodegib,The serum concentration of Vismodegib can be increased when it is combined with Ceftriaxone.
Vorapaxar,The therapeutic efficacy of Vorapaxar can be decreased when used in combination with Ceftriaxone.
Vortioxetine,Ceftriaxone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.
Voxilaprevir,The serum concentration of Voxilaprevir can be increased when it is combined with Ceftriaxone.
Warfarin,Ceftriaxone may decrease the excretion rate of Warfarin which could result in a higher serum level.
Ximelagatran,The therapeutic efficacy of Ximelagatran can be decreased when used in combination with Ceftriaxone.
Xipamide,Xipamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Yellow Fever Vaccine,The therapeutic efficacy of Yellow Fever Vaccine can be decreased when used in combination with Ceftriaxone.
Zalcitabine,The excretion of Zalcitabine can be decreased when combined with Ceftriaxone.
Zaleplon,Ceftriaxone may decrease the excretion rate of Zaleplon which could result in a higher serum level.
Zaltoprofen,Zaltoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Zanamivir,Ceftriaxone may decrease the excretion rate of Zanamivir which could result in a higher serum level.
Zidovudine,The serum concentration of Zidovudine can be increased when it is combined with Ceftriaxone.
Zinc citrate,The therapeutic efficacy of Zinc citrate can be decreased when used in combination with Ceftriaxone.
Zoledronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Zoledronic acid.
Zomepirac,Zomepirac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Zonisamide,Ceftriaxone may decrease the excretion rate of Zonisamide which could result in a higher serum level.
